ID,DESCRIPTION,IMAGE
b,Use this configurator tool to help build and price your own customized CJ Spray Mobile Spray Rig. For more detailed information see our Mobile Spray Rigs brochure. If you have any questions or need advice please call.<br /><br />1-888-CJSPRAY (888-257-7729),info/cover.jpg
b-a,"16’ Spray foam starter rig with Graco Reactor E20. Plenty of power for residential insulation, without sacraficing performance or reliability. Standard features include:<br /><br /><ul><li>7,000 lb gvw</li><br /><li>Fully insulated walls and ceiling with SPF</li><br /><li>Generator mounted in “dog house”</li><br /><li>Galvanized steel work bench, vise, blow gun, and overhead aluminum premium cabinet</li><br /><li>Barrel brace system for two sets of material</li><br /><li>Heated hose wrap</li><br /><li>Epoxy floor coating, white board walls, white ceiling board, and premium white aluminum trim throughout trailer</li><br /><li>48 in. curbside door with hose hatch</li><br /><li>Rear ramp door</li><br /><li>Bogey wheels at rear of trailer to prevent damage</li><br /><li>LED lights and accents</li><br /><li>RV style locks and latches</li></ul>",info/PC030203.jpg
b-b,"20’ Premium Rigs for foam and coating applications offer high performance and a proffesional apperance. Compact 20’ layout is manuverable and can be handled with smaller pick-up trucks. Standard features include:<br /><br /><ul><li>14,000 lb gvw</li><br /><li>Urethane foam insulation sprayed in walls, ceiling and floor</li><br /><li>White board walls and ceiling, with white aluminum trim accent for a professional fit and finish</li><br /><li>Galvanized steel work bench with vise, blow gun, grinder, overhead aluminum cabinet with light, and 6-drawer tool box</li><br /><li>Diamond plate floor in spray room</li><br /><li>Shore power hook-up, 110 volt</li><br /><li>Barrel brace system for two sets of material</li><br /><li>Heated hose wrap</li><br /><li>Two fire extinguishers, eye wash station and first aid kit</li><br /><li>Electric brakes</li><br /><li>Bogey wheels in rear of trailer to prevent damage</li><br /><li>48 in curb side door with hose hatch</li><br /><li>Rear swinging barn doors</li><br /><li>RV style locks and latches</li><br /><li>LED lights and accents</li><br /><li>Sparte tire mounted on nose</li></ul>",info/P1070126.jpg
b-c,"The 28 ft Gooseneck trailer proveds more rrom and has larger axeos to carry more material. The gooseneck provides greater maneuverabiliy at the job-site and easier towing down the road<br /><br /><ul><li>16,000 lb gvw</li><br /><li>Urethane foam insulation sprayed in walls, ceiling and floor</li><br /><li>White board walls and ceiling, with white aluminum trim accent for a professional fit and finish</li><br /><li>Galvanized steel work bench with vise, blow gun, grinder, overhead aluminum cabinet with light, and 6-drawer tool box</li><br /><li>Diamond plate floor in spray room</li><br /><li>Shore power hook-up, 110 volt</li><br /><li>Barrel brace system for three sets of material</li><br /><li>Heated hose wrap</li><br /><li>Two fire extinguishers, eye wash station, and first aid kit</li><br /><li>Electric brakes</li><br /><li>Bogey wheels in rear of trailer to prevent damage</li><br /><li>48 in curb side door</li><br /><li>Rear swinging barn doors with hose hatch</li><br /><li>RV style locks and latches</li><br /><li>LED lights and accents</li><br /><li>Sparte tire mounted in cab over</li></ul>",info/DSC_0107.jpg
b-d,"Suppy your own box truck and have CJ Spray customize it for your application. Box trucks are easy to maneuver and can reach areas in rugged job site that trailers cannot. They are capable of hauling heavy loads and are easy to park where space is limited. Contact CJ Spray for truck requirements. Standard installed features include:<br /><br /><ul><li>Urethane foam insulation sprayed in walls, ceiling and floor</li><br /><li>White board walls and ceiling, with white aluminum trim accent for a professional fit and finish</li><br /><li>Galvanized steel work bench with vise, blow gun, grinder, overhead aluminum cabinet with light, and 6-drawer tool box</li><br /><li>Diamond plate floor in spray room</li><br /><li>Shore power hook-up, 110 volt</li><br /><li>Barrel brace system for two or three sets of material</li><br /><li>Heated hose wrap</li><br /><li>Two fire extinguishers, eye wash station, and first aid kit</li></ul>",info/Sprayer_Pics_018.jpg
cc,"What Graco Reactor is right for you depends on your application and plan. There are two main categories of Reactors: Foam and Coatings. They are both similar and do the same thing, but coating proportioners are capable of higher pressures to atomize heavier coatings. The additional pressure requires more horsepower, so Reactors for coatings cost more than Reactors for foam. <br />	<br />Within those two categories we also have three types of Reactors: Air, Electric, and Hydraulic, which refers to how the pumps are driven. Air operated Reactors use an air motor to drive the pump lowers which requires a large air compressor that makes them uncommon in mobile rig applications. Electric Reactors are a great balance of performance and price and have quickly become the most popular in the market place. Hydraulic Reactors have great durability and can have higher outputs than the electric series Reactors. Along with the hydraulics comes a higher price tag.",info/3_reactors.jpg
cc-0,"Graco distributors can order the trailer without a Reactor. CJ Spray will have the trailer completely ready for your installation of the Reactor. Wiring, fluid and air plumbing will all be terminated to the point of installation. Must specify what Reactor will be installed at time of order.",
cc-1,"Air-Driven Reactor provides 20 lb/min output and 2,000 psi. Great for residential foam applications, but has a high air consumption of 27 cfm.",info/ReactorE_20.jpg
cc-10,"Electric-Driven Reactor provides 1.0 gpm and 2,500 psi. Ideal for low output coating applications.",info/ReactorE_XP1.jpg
cc-11,"Electric-Driven Reactor provides 2.0 gpm and 3,500 psi.",info/ReactorE_XP2.jpg
